

1559487586.639846900  Node Startup
1559487589.904985500 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487589.938890000 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487589.939171200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487589.939500600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487589.971720700 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487589.971789400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487589.971803000 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.005053300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.005084200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.005097000 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.038532300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.038666100 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.038683400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.071762300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.072024500 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.072049300 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.105648800 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.105690700 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.105707700 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.138285600 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
1559487590.138361100 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:355(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] waypoint is missing
1559487590.138375200 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:358(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] velocity is missing
1559487590.171691400 WARN [/Term2/Tmp_CarND-Capstone_08/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:352(TwistStamped waypoint_follower::PurePursuit::go) [topics: /rosout, /twist_cmd] position is missing
